self-test: enumeration reproduces PV-21 and the involution counts 1,2,4,10,26,76,232,764
length 17: sweeping self-dual permutations ending in 1 (= I(16) of them) in 27940 work units on 12 workers
  [20/27940] checked 661,176  1,578/s  elapsed 7.0m
  [3440/27940] checked 12,227,220  4,686/s  elapsed 43.5m
  [3460/27940] checked 12,246,212  4,693/s  elapsed 43.5m
  [3480/27940] checked 12,265,204  4,697/s  elapsed 43.5m
  [3500/27940] checked 12,284,196  4,696/s  elapsed 43.6m
  [3520/27940] checked 12,303,188  4,697/s  elapsed 43.7m
  [3540/27940] checked 12,329,056  4,672/s  elapsed 44.0m
  [3560/27940] checked 12,364,752  4,685/s  elapsed 44.0m
  [3580/27940] checked 12,383,744  4,693/s  elapsed 44.0m
  [3600/27940] checked 12,402,736  4,700/s  elapsed 44.0m
  [3620/27940] checked 12,421,728  4,692/s  elapsed 44.1m
  [3640/27940] checked 12,440,720  4,693/s  elapsed 44.2m
  [3660/27940] checked 12,459,712  4,691/s  elapsed 44.3m
  [3680/27940] checked 12,504,140  4,678/s  elapsed 44.6m
  [3700/27940] checked 12,523,132  4,685/s  elapsed 44.6m
  [3720/27940] checked 12,542,124  4,689/s  elapsed 44.6m
  [3740/27940] checked 12,561,116  4,683/s  elapsed 44.7m
  [3760/27940] checked 12,580,108  4,688/s  elapsed 44.7m
  [3780/27940] checked 12,599,100  4,690/s  elapsed 44.8m
  [3800/27940] checked 12,643,528  4,658/s  elapsed 45.2m
  [3820/27940] checked 12,662,520  4,665/s  elapsed 45.2m
  [3840/27940] checked 12,681,512  4,672/s  elapsed 45.2m
  [3860/27940] checked 12,700,504  4,679/s  elapsed 45.2m
  [3880/27940] checked 12,719,496  4,686/s  elapsed 45.2m
  [3900/27940] checked 12,738,488  4,684/s  elapsed 45.3m
  [3920/27940] checked 12,902,764  4,577/s  elapsed 47.0m
  [3940/27940] checked 12,968,916  4,600/s  elapsed 47.0m
  [3960/27940] checked 13,035,068  4,624/s  elapsed 47.0m
  [3980/27940] checked 13,094,344  4,645/s  elapsed 47.0m
  [4000/27940] checked 13,160,496  4,668/s  elapsed 47.0m
  [4020/27940] checked 13,226,648  4,667/s  elapsed 47.2m
  [4040/27940] checked 13,292,800  4,678/s  elapsed 47.4m
  [4060/27940] checked 13,348,364  4,688/s  elapsed 47.5m
  [4080/27940] checked 13,367,356  4,694/s  elapsed 47.5m
  [4100/27940] checked 13,386,348  4,701/s  elapsed 47.5m
  [4120/27940] checked 13,405,340  4,701/s  elapsed 47.5m
  [4140/27940] checked 13,424,332  4,705/s  elapsed 47.6m
  [4160/27940] checked 13,443,324  4,699/s  elapsed 47.7m
  [4180/27940] checked 13,487,752  4,682/s  elapsed 48.0m
  [4200/27940] checked 13,506,744  4,688/s  elapsed 48.0m
  [4220/27940] checked 13,525,736  4,695/s  elapsed 48.0m
  [4240/27940] checked 13,544,728  4,695/s  elapsed 48.1m
  [4260/27940] checked 13,563,720  4,701/s  elapsed 48.1m
  [4280/27940] checked 13,582,712  4,696/s  elapsed 48.2m
  [4300/27940] checked 13,627,140  4,673/s  elapsed 48.6m
  [4320/27940] checked 13,646,132  4,680/s  elapsed 48.6m
  [4340/27940] checked 13,665,124  4,686/s  elapsed 48.6m
  [4360/27940] checked 13,684,116  4,693/s  elapsed 48.6m
  [4380/27940] checked 13,703,108  4,695/s  elapsed 48.6m
  [4400/27940] checked 13,722,100  4,697/s  elapsed 48.7m
  [4420/27940] checked 13,764,672  4,689/s  elapsed 48.9m
  [4440/27940] checked 13,783,664  4,696/s  elapsed 48.9m
  [4460/27940] checked 13,802,656  4,701/s  elapsed 48.9m
  [4480/27940] checked 13,821,648  4,703/s  elapsed 49.0m
  [4500/27940] checked 13,840,640  4,698/s  elapsed 49.1m
  [4520/27940] checked 13,859,632  4,701/s  elapsed 49.1m
  [4540/27940] checked 13,902,204  4,686/s  elapsed 49.4m
  [4560/27940] checked 13,923,052  4,693/s  elapsed 49.4m
  [4580/27940] checked 13,942,044  4,700/s  elapsed 49.4m
  [4600/27940] checked 13,961,036  4,706/s  elapsed 49.4m
